Setting,Exposure,Theta_A,Seed,Article,t,N,B,A
network,fair,0.7459743804762068,36,a,7,0,0,0
network,fair,0.7459743804762068,36,a,8,0,0,0
network,fair,0.7459743804762068,36,a,9,0,0,0
network,fair,0.7459743804762068,37,a,0,69,0,69
network,fair,0.7459743804762068,37,a,1,42,2,40
network,fair,0.7459743804762068,37,a,2,30,7,23
network,fair,0.7459743804762068,37,a,3,6,1,5
network,fair,0.7459743804762068,37,a,4,0,0,0
network,fair,0.7459743804762068,37,a,5,0,0,0
network,fair,0.7459743804762068,37,a,6,0,0,0
network,fair,0.7459743804762068,37,a,7,0,0,0
network,fair,0.7459743804762068,37,a,8,0,0,0
network,fair,0.7459743804762068,37,a,9,0,0,0
network,fair,0.7459743804762068,38,a,0,69,0,69
network,fair,0.7459743804762068,38,a,1,48,6,42
network,fair,0.7459743804762068,38,a,2,21,1,20
network,fair,0.7459743804762068,38,a,3,7,1,6
network,fair,0.7459743804762068,38,a,4,0,0,0
network,fair,0.7459743804762068,38,a,5,0,0,0
network,fair,0.7459743804762068,38,a,6,0,0,0
network,fair,0.7459743804762068,38,a,7,0,0,0
network,fair,0.7459743804762068,38,a,8,0,0,0
network,fair,0.7459743804762068,38,a,9,0,0,0
network,fair,0.7459743804762068,39,a,0,69,0,69
network,fair,0.7459743804762068,39,a,1,42,3,39
network,fair,0.7459743804762068,39,a,2,21,3,18
network,fair,0.7459743804762068,39,a,3,8,4,4
network,fair,0.7459743804762068,39,a,4,1,1,0
network,fair,0.7459743804762068,39,a,5,0,0,0
network,fair,0.7459743804762068,39,a,6,0,0,0
network,fair,0.7459743804762068,39,a,7,0,0,0
network,fair,0.7459743804762068,39,a,8,0,0,0
network,fair,0.7459743804762068,39,a,9,0,0,0
network,fair,0.7459743804762068,40,a,0,69,0,69
network,fair,0.7459743804762068,40,a,1,41,3,38
network,fair,0.7459743804762068,40,a,2,15,0,15
network,fair,0.7459743804762068,40,a,3,5,2,3
network,fair,0.7459743804762068,40,a,4,2,2,0
network,fair,0.7459743804762068,40,a,5,1,1,0
network,fair,0.7459743804762068,40,a,6,0,0,0
network,fair,0.7459743804762068,40,a,7,0,0,0
network,fair,0.7459743804762068,40,a,8,0,0,0
network,fair,0.7459743804762068,40,a,9,0,0,0
network,fair,0.7459743804762068,41,a,0,69,0,69
network,fair,0.7459743804762068,41,a,1,33,2,31
network,fair,0.7459743804762068,41,a,2,23,3,20
network,fair,0.7459743804762068,41,a,3,7,0,7
network,fair,0.7459743804762068,41,a,4,1,1,0
network,fair,0.7459743804762068,41,a,5,0,0,0
network,fair,0.7459743804762068,41,a,6,0,0,0
network,fair,0.7459743804762068,41,a,7,0,0,0
network,fair,0.7459743804762068,41,a,8,0,0,0
network,fair,0.7459743804762068,41,a,9,0,0,0
network,fair,0.7459743804762068,42,a,0,69,0,69
network,fair,0.7459743804762068,42,a,1,42,0,42
network,fair,0.7459743804762068,42,a,2,12,1,11
network,fair,0.7459743804762068,42,a,3,5,0,5
network,fair,0.7459743804762068,42,a,4,0,0,0
network,fair,0.7459743804762068,42,a,5,0,0,0
network,fair,0.7459743804762068,42,a,6,0,0,0
network,fair,0.7459743804762068,42,a,7,0,0,0
network,fair,0.7459743804762068,42,a,8,0,0,0
network,fair,0.7459743804762068,42,a,9,0,0,0
network,fair,0.7459743804762068,43,a,0,69,0,69
network,fair,0.7459743804762068,43,a,1,43,1,42
network,fair,0.7459743804762068,43,a,2,23,2,21
network,fair,0.7459743804762068,43,a,3,7,2,5
network,fair,0.7459743804762068,43,a,4,3,0,3
network,fair,0.7459743804762068,43,a,5,0,0,0
network,fair,0.7459743804762068,43,a,6,0,0,0
network,fair,0.7459743804762068,43,a,7,0,0,0
network,fair,0.7459743804762068,43,a,8,0,0,0
network,fair,0.7459743804762068,43,a,9,0,0,0
network,fair,0.7459743804762068,44,a,0,69,0,69
network,fair,0.7459743804762068,44,a,1,48,2,46
network,fair,0.7459743804762068,44,a,2,24,7,17
network,fair,0.7459743804762068,44,a,3,18,13,5
network,fair,0.7459743804762068,44,a,4,27,24,3
network,fair,0.7459743804762068,44,a,5,48,48,0
network,fair,0.7459743804762068,44,a,6,37,35,2
network,fair,0.7459743804762068,44,a,7,21,20,1
network,fair,0.7459743804762068,44,a,8,7,6,1
network,fair,0.7459743804762068,44,a,9,1,1,0
network,fair,0.7459743804762068,45,a,0,69,0,69
